"channel","Energy","counts","fit","continuum","pileup","Si Ka","Si Kb","P Ka","P Kb","Ni Ka","Ni Kb","Ga Ka","Ga Kb","Ga L1","Ga L2","Ga L3","Rh L1","Rh L2","Rh L3"
157,0.6069667,51,50.91567,49,0,1.830927,0.05067518,0.01380294,0.0001204063,0.0002638849,6.953825e-05,0.002209663,0.0002492568,0.001106395,0.006536237,0.009045838,9.436421e-05,0.0001934316,0.0003783035
158,0.61697,43,48.95009,47,0,1.863629,0.05150887,0.01400162,0.0001219958,0.0002646555,6.972026e-05,0.00221479,0.000249774,0.00113909,0.006793497,0.009421184,9.513749e-05,0.0001951444,0.0003818556
159,0.6269733,51,48.3917,46.40625,0,1.897215,0.05236328,0.01420462,0.000123617,0.0002654294,6.990299e-05,0.002219936,0.0002502928,0.001173252,0.007066206,0.009820311,9.592038e-05,0.00019688,0.0003854582
160,0.6369765,49,47.8343,45.8125,0,1.931716,0.05323911,0.01441207,0.0001252707,0.0002662068,7.008643e-05,0.002225099,0.0002508132,0.001208973,0.007355623,0.01024527,9.671304e-05,0.0001986389,0.000389112
161,0.6469798,60,47.27792,45.21875,0,1.967166,0.0541371,0.01462409,0.0001269578,0.0002669876,7.02706e-05,0.002230281,0.0002513353,0.001246347,0.007663136,0.01069832,9.751564e-05,0.0002004216,0.0003928183
162,0.6569831,51,46.72261,44.625,0,2.003601,0.05505798,0.01484082,0.0001286791,0.0002677718,7.045549e-05,0.00223548,0.0002518589,0.001285478,0.007990282,0.011182,9.832835e-05,0.0002022284,0.0003965778
163,0.6669864,41,46.13343,43.99628,0,2.041056,0.05600254,0.0150624,0.0001304358,0.0002685595,7.064111e-05,0.002240698,0.0002523843,0.001326478,0.008338762,0.01169911,9.915134e-05,0.0002040598,0.0004003918
164,0.6769897,45,45.4593,43.28145,0,2.079571,0.0569716,0.01528898,0.0001322286,0.0002693506,7.082747e-05,0.002245934,0.0002529112,0.001369467,0.008710465,0.0122528,9.998478e-05,0.0002059163,0.0004042612
165,0.686993,44,44.53224,42.3125,0,2.119186,0.05796602,0.0155207,0.0001340586,0.0002701453,7.101457e-05,0.002251189,0.0002534399,0.001414576,0.009107495,0.01284658,0.0001008289,0.0002077982,0.0004081871
166,0.6969963,45,43.54413,41.28125,0,2.159942,0.05898669,0.01575774,0.0001359269,0.0002709435,7.120241e-05,0.002256462,0.0002539702,0.001461947,0.009532196,0.0134844,0.0001016837,0.0002097062,0.0004121706
167,0.7069995,36,42.55732,40.25,0,2.201885,0.06003453,0.01600024,0.0001378344,0.0002717452,7.1391e-05,0.002261753,0.0002545021,0.001511732,0.00998719,0.01417072,0.0001025496,0.0002116406,0.0004162129
168,0.7170028,44,42.45213,40.09902,0,2.24506,0.06111052,0.01624838,0.0001397824,0.0002725505,7.158033e-05,0.002267063,0.0002550357,0.001564099,0.01047542,0.01491055,0.0001034267,0.0002136019,0.0004203152
169,0.7270061,52,42.34836,39.94804,0,2.289517,0.06221569,0.01650233,0.000141772,0.0002733593,7.177042e-05,0.002272392,0.000255571,0.001619229,0.01100018,0.01570956,0.0001043152,0.0002155908,0.0004244786
170,0.7370094,46,42.23872,39.78971,0,2.335306,0.06335108,0.01676228,0.0001438043,0.0002741718,7.196127e-05,0.00227774,0.000256108,0.001677318,0.01156519,0.01657422,0.0001052153,0.0002176075,0.0004287043
171,0.7470127,46,42.121,39.62176,0,2.382481,0.06451782,0.01702842,0.0001458806,0.0002749879,7.215288e-05,0.002283106,0.0002566467,0.001738582,0.01217466,0.01751188,0.0001061271,0.0002196528,0.0004329936
172,0.757016,44,42.0049,39.45381,0,2.4311,0.06571706,0.01730095,0.0001480022,0.0002758077,7.234526e-05,0.002288492,0.0002571871,0.001803257,0.01283335,0.01853093,0.000107051,0.0002217271,0.0004373478
173,0.7670193,50,41.89049,39.28585,0,2.48122,0.06695003,0.01758006,0.0001501704,0.0002766311,7.253841e-05,0.002293897,0.0002577292,0.001871599,0.01354669,0.01964101,0.000107987,0.000223831,0.0004417682
174,0.7770225,45,41.77785,39.1179,0,2.532905,0.06821799,0.01786598,0.0001523865,0.0002774582,7.273233e-05,0.00229932,0.000258273,0.001943891,0.01432084,0.02085323,0.0001089355,0.0002259651,0.0004462562
175,0.7870258,49,41.66555,38.94842,0,2.586221,0.06952229,0.01815893,0.000154652,0.000278289,7.292703e-05,0.002304763,0.0002588185,0.00202044,0.01516288,0.02218041,0.0001098967,0.0002281299,0.0004508131
176,0.7970291,37,41.5552,38.77894,0,2.641236,0.07086433,0.01845914,0.0001569685,0.0002791236,7.312251e-05,0.002310226,0.0002593658,0.002101589,0.01608092,0.02363746,0.0001108707,0.0002303261,0.0004554404
177,0.8070324,52,41.44585,38.60841,0,2.698023,0.07224558,0.01876685,0.0001593373,0.0002799619,7.331878e-05,0.002315708,0.0002599148,0.002187711,0.01708434,0.02524173,0.0001118579,0.0002325542,0.0004601396
178,0.8170357,48,41.33503,38.43424,0,2.75666,0.07366757,0.01908231,0.0001617601,0.0002808041,7.351584e-05,0.002321209,0.0002604655,0.00227922,0.01818398,0.02701357,0.0001128584,0.0002348148,0.0004649121
179,0.827039,47,41.2265,38.26006,0,2.817228,0.07513192,0.01940579,0.0001642386,0.00028165,7.37137e-05,0.00232673,0.000261018,0.002376574,0.01939243,0.02897692,0.0001138725,0.0002371087,0.0004697594
180,0.8370423,48,41.12039,38.08589,0,2.879811,0.07664033,0.01973756,0.0001667745,0.0002824997,7.391236e-05,0.002332271,0.0002615723,0.002480278,0.02072442,0.0311601,0.0001149005,0.0002394364,0.0004746832
181,0.8470455,46,41.01684,37.91171,0,2.944502,0.07819459,0.02007791,0.0001693695,0.0002833533,7.411182e-05,0.002337831,0.0002621283,0.002590896,0.02219721,0.03359685,0.0001159425,0.0002417987,0.0004796851
182,0.8570488,46,40.91365,37.73518,0,3.011394,0.07979657,0.02042713,0.0001720255,0.0002842108,7.431209e-05,0.002343412,0.0002626861,0.002709053,0.02383117,0.03632757,0.0001169989,0.0002441961,0.0004847667
183,0.8670521,40,40.81199,37.55728,0,3.080589,0.08144825,0.02078553,0.0001747444,0.0002850722,7.451317e-05,0.002349012,0.0002632457,0.002835448,0.02565042,0.03940115,0.00011807,0.0002466295,0.0004899297
184,0.8770554,53,40.71274,37.37869,0,3.152194,0.08315168,0.02115345,0.0001775283,0.0002859374,7.471507e-05,0.002354633,0.000263807,0.002970862,0.02768378,0.0428779,0.0001191559,0.0002490996,0.000495176
185,0.8870587,48,40.61681,37.20009,0,3.226323,0.08490907,0.02153121,0.0001803792,0.0002868067,7.491779e-05,0.002360273,0.0002643702,0.003116168,0.02996585,0.04683528,0.0001202571,0.000251607,0.0005005072
186,0.897062,43,40.52448,37.02149,0,3.303093,0.08672271,0.02191917,0.0001832993,0.0002876799,7.512134e-05,0.002365934,0.0002649352,0.003272351,0.03253877,0.0513823,0.0001213737,0.0002541526,0.0005059253
187,0.9070652,41,40.43513,36.84191,0,3.382634,0.08859503,0.02231771,0.0001862908,0.0002885571,7.532572e-05,0.002371616,0.000265502,0.003440518,0.03545521,0.05669887,0.0001225061,0.0002567372,0.0005114322
188,0.9170685,63,40.35002,36.66203,0,3.465078,0.09052857,0.02272721,0.0001893561,0.0002894383,7.553093e-05,0.002377318,0.0002660706,0.00362192,0.03878494,0.06314479,0.0001236545,0.0002593614,0.0005170298
189,0.9270718,56,40.26899,36.48063,0,3.55057,0.09252604,0.02314807,0.0001924976,0.0002903236,7.573698e-05,0.00238304,0.000266641,0.003817977,0.04263218,0.07154763,0.0001248193,0.0002620262,0.0005227201
190,0.9370751,39,40.19519,36.29849,0,3.639262,0.09459029,0.02358072,0.000195718,0.0002912129,7.594388e-05,0.002388783,0.0002672133,0.004030299,0.04718361,0.08390911,0.0001260008,0.0002647325,0.0005285051
191,0.9470784,61,40.13445,36.11614,0,3.731313,0.09672432,0.02402561,0.0001990197,0.0002921063,7.615163e-05,0.002394547,0.0002677874,0.004260727,0.05283867,0.1049948,0.0001271993,0.0002674809,0.0005343871
192,0.9570817,51,40.09778,35.93266,0,3.826897,0.0989313,0.0244832,0.0002024057,0.0002930038,7.636023e-05,0.002400332,0.0002683634,0.004511364,0.06054281,0.1455748,0.0001284152,0.0002702725,0.0005403682
193,0.967085,46,40.11144,35.74918,0,3.926196,0.1012146,0.02495397,0.0002058788,0.0002939055,7.656968e-05,0.002406138,0.0002689412,0.004784629,0.07257478,0.2283327,0.0001296487,0.0002731082,0.0005464506
194,0.9770882,45,40.22395,35.56468,0,4.029405,0.1035778,0.02543844,0.0002094419,0.0002948114,7.678e-05,0.002411965,0.0002695209,0.005083309,0.09424449,0.3973031,0.0001309003,0.0002759888,0.0005526367
195,0.9870915,46,40.52629,35.38017,0,4.136732,0.1060246,0.02593715,0.0002130983,0.0002957214,7.699119e-05,0.002417813,0.0002701025,0.005410628,0.137197,0.730572,0.0001321702,0.0002789154,0.0005589288
196,0.9970948,42,41.16635,35.19445,0,4.248397,0.108559,0.02645065,0.0002168512,0.0002966357,7.720325e-05,0.002423682,0.0002706859,0.00577034,0.2251256,1.353336,0.0001334589,0.000281889,0.0005653294
197,1.007098,46,42.3687,35.00873,0,4.364638,0.1111853,0.02697955,0.0002207041,0.0002975542,7.741619e-05,0.002429573,0.0002712713,0.006166826,0.4023272,2.444386,0.0001347668,0.0002849104,0.000571841
198,1.017101,56,44.43047,34.823,0,4.485708,0.1139079,0.02752445,0.0002246605,0.0002984769,7.763001e-05,0.002435485,0.0002718585,0.006605232,0.744215,4.225195,0.0001360941,0.0002879809,0.0005784661
199,1.027105,51,47.69217,34.63728,0,4.611878,0.1167317,0.028086,0.0002287241,0.000299404,7.784472e-05,0.002441419,0.0002724477,0.007091642,1.366356,6.920409,0.0001374413,0.0002911014,0.0005852075
200,1.037108,70,52.46469,34.45031,0,4.743437,0.1196616,0.02866491,0.0002328989,0.0003003354,7.806032e-05,0.002447375,0.0002730388,0.007633306,2.425278,10.68535,0.0001388089,0.0002942731,0.0005920679
201,1.047111,71,58.9222,34.26333,0,4.880696,0.122703,0.02926188,0.000237189,0.0003012712,7.827682e-05,0.002453352,0.0002736318,0.008238963,4.101987,15.51161,0.0001401971,0.000297497,0.0005990501
202,1.057115,69,66.9702,34.07544,0,5.02399,0.1258618,0.02987768,0.0002415986,0.0003022113,7.849422e-05,0.002459352,0.0002742267,0.008919317,6.560702,21.14101,0.0001416065,0.0003007743,0.000606157
203,1.067118,86,76.14897,33.88755,0,5.173676,0.1291439,0.0305131,0.0002461323,0.0003031559,7.871252e-05,0.002465373,0.0002748236,0.009687842,9.883367,27.03061,0.0001430375,0.0003041063,0.0006133917
204,1.077121,80,85.60739,33.69958,0,5.330138,0.1325559,0.03116899,0.0002507946,0.0003041049,7.893174e-05,0.002471417,0.0002754224,0.01056234,13.9944,32.40453,0.0001444905,0.0003074942,0.0006207572
205,1.087124,106,94.19559,33.51162,0,5.493793,0.1361047,0.03184623,0.0002555906,0.0003050583,7.915187e-05,0.002477483,0.0002760232,0.01156851,18.60429,36.40189,0.000145966,0.0003109391,0.0006282566
206,1.097128,93,100.6779,33.32224,0,5.665086,0.1397977,0.03254576,0.0002605253,0.0003060162,7.937293e-05,0.002483571,0.0002766259,0.01274891,23.20551,38.29552,0.0001474645,0.0003144424,0.0006358934
207,1.107131,92,104.0332,33.13287,0,5.8445,0.1436428,0.03326857,0.0002656042,0.0003069787,7.959491e-05,0.002489681,0.0002772307,0.0141862,27.14228,37.71789,0.0001489864,0.0003180055,0.0006436708
208,1.117134,96,103.7191,32.94338,0,6.032554,0.1476485,0.0340157,0.000270833,0.0003079457,7.981783e-05,0.002495815,0.0002778374,0.01606122,29.75132,34.78957,0.0001505322,0.0003216297,0.0006515924
209,1.127138,105,99.80867,32.7539,0,6.229812,0.1518238,0.03478826,0.0002762176,0.0003089173,8.004168e-05,0.00250197,0.0002784461,0.01879015,30.54347,30.07151,0.0001521025,0.0003253164,0.0006596617
210,1.137141,89,92.96222,32.56335,0,6.436882,0.1561785,0.0355874,0.0002817641,0.0003098934,8.026648e-05,0.002508149,0.0002790568,0.02332317,29.36453,24.37776,0.0001536978,0.000329067,0.0006678825
211,1.147144,86,84.25745,32.3728,0,6.654424,0.1607228,0.03641436,0.0002874793,0.0003108742,8.049222e-05,0.002514351,0.0002796695,0.03173923,26.4497,18.54701,0.0001553185,0.0003328831,0.0006762586
212,1.157147,75,74.91228,32.18194,0,6.883155,0.165468,0.03727046,0.00029337,0.0003118597,8.071892e-05,0.002520575,0.0002802843,0.04831395,22.3375,13.25396,0.0001569653,0.0003367662,0.0006847939
213,1.167151,73,66.01637,31.99109,0,7.123853,0.1704261,0.03815705,0.0002994434,0.0003128499,8.094658e-05,0.002526823,0.0002809011,0.08121905,17.70014,8.906798,0.0001586388,0.0003407178,0.0006934926
214,1.177154,71,58.34975,31.79938,0,7.377366,0.17561,0.03907563,0.0003057072,0.0003138448,8.11752e-05,0.002533094,0.0002815199,0.1448421,13.16885,5.639903,0.0001603394,0.0003447397,0.0007023588
215,1.187157,60,52.32488,31.60767,0,7.644617,0.1810335,0.04002773,0.0003121694,0.0003148444,8.140479e-05,0.002539389,0.0002821407,0.2623064,9.207182,3.377282,0.0001620679,0.0003488334,0.0007113969
216,1.197161,64,48.02483,31.41535,0,7.926615,0.1867117,0.041015,0.0003188384,0.0003158489,8.163536e-05,0.002545707,0.0002827637,0.4671126,6.057799,1.925448,0.0001638247,0.0003530007,0.0007206114
217,1.207164,57,45.30735,31.22302,0,8.22446,0.1926607,0.04203921,0.0003257232,0.0003168581,8.186691e-05,0.002552048,0.0002833886,0.8021176,3.759872,1.058366,0.0001656107,0.0003572435,0.0007300068
218,1.217167,62,43.9154,31.03024,9.616e-09,8.539359,0.1988978,0.04310221,0.0003328332,0.0003178722,8.209944e-05,0.002558413,0.0002840157,1.313777,2.211319,0.573861,0.0001674263,0.0003615634,0.0007395881
219,1.22717,49,43.56642,30.83746,1.957749e-08,8.872634,0.2054421,0.04420598,0.0003401783,0.0003188912,8.233297e-05,0.002564802,0.0002846448,2.040343,1.242803,0.3186579,0.0001692723,0.0003659625,0.0007493601
220,1.237174,53,43.99543,30.6439,2.989712e-08,9.22574,0.212314,0.04535263,0.000347769,0.000319915,8.25675e-05,0.002571215,0.0002852761,2.994918,0.6779978,0.1903021,0.0001711494,0.0003704426,0.000759328
221,1.247177,48,44.96547,30.45034,4.058804e-08,9.600275,0.2195356,0.0465444,0.0003556163,0.0003209439,8.280302e-05,0.002577652,0.0002859094,4.147547,0.3691106,0.1271813,0.0001730583,0.0003750058,0.0007694971
222,1.25718,52,46.25264,30.25654,5.166399e-08,9.998002,0.2271311,0.0477837,0.0003637318,0.0003219776,8.303956e-05,0.002584114,0.0002865448,5.413394,0.2092691,0.09554574,0.0001749996,0.0003796541,0.0007798728
223,1.267184,55,47.63549,30.06273,6.31393e-08,10.42087,0.2351265,0.04907308,0.0003721281,0.0003230164,8.327711e-05,0.002590599,0.0002871824,6.654532,0.1297466,0.07839865,0.0001769743,0.0003843897,0.0007904608
224,1.277187,47,48.89608,29.86803,7.502891e-08,10.87103,0.2435505,0.05041527,0.000380818,0.0003240602,8.351569e-05,0.00259711,0.0002878221,7.699626,0.09058244,0.06779867,0.0001789829,0.0003892149,0.0008012669
225,1.28719,49,49.84418,29.67333,8.734844e-08,11.35088,0.252434,0.05181319,0.0003898156,0.0003251091,8.375529e-05,0.002603644,0.0002884639,8.37985,0.07053748,0.06026037,0.0001810264,0.0003941318,0.0008122973
226,1.297193,63,50.34816,29.47826,1.001142e-07,11.86307,0.2618111,0.05326995,0.0003991353,0.0003261631,8.399592e-05,0.002610204,0.0002891079,8.573123,0.05920091,0.05431483,0.0001831055,0.0003991428,0.0008235582
227,1.307197,45,50.36896,29.28319,1.133432e-07,12.41056,0.2717189,0.05478892,0.0004087929,0.0003272222,8.423759e-05,0.002616788,0.0002897541,8.242397,0.05182028,0.04934196,0.0001852211,0.0004042503,0.000835056
228,1.3172,54,49.96841,29.0876,1.270532e-07,12.99665,0.282198,0.05637366,0.0004188048,0.0003282865,8.44803e-05,0.002623397,0.0002904024,7.44899,0.04634491,0.04505998,0.000187374,0.0004094569,0.0008467976
229,1.327203,48,49.28865,28.89202,1.412629e-07,13.62505,0.293293,0.05802802,0.0004291884,0.000329356,8.472407e-05,0.002630031,0.0002910529,6.3318,0.04191498,0.0413193,0.0001895652,0.0004147652,0.0008587898
230,1.337207,49,48.50711,28.69578,1.559918e-07,14.29989,0.3050531,0.05975614,0.0004399625,0.0003304307,8.496889e-05,0.00263669,0.0002917055,5.065174,0.03816144,0.03802446,0.0001917956,0.0004201777,0.00087104
231,1.34721,61,47.7951,28.49955,1.712603e-07,15.02586,0.3175323,0.06156246,0.0004511469,0.0003315107,8.521478e-05,0.002643375,0.0002923604,3.815271,0.03490856,0.03510552,0.000194066,0.0004256973,0.0008835555
232,1.357213,51,47.2832,28.30313,1.870898e-07,15.80821,0.3307901,0.06345176,0.0004627624,0.000332596,8.546173e-05,0.002650085,0.0002930175,2.707709,0.03205671,0.03250729,0.0001963776,0.0004313269,0.0008963442
233,1.367216,65,47.0476,28.10671,2.035026e-07,16.65289,0.3448924,0.06542918,0.0004748317,0.0003336867,8.570976e-05,0.002656821,0.0002936768,1.812566,0.02953867,0.0301847,0.0001987313,0.0004370693,0.0009094141
234,1.37722,62,47.1111,27.90947,2.205224e-07,17.56666,0.3599123,0.06750027,0.0004873786,0.0003347827,8.595887e-05,0.002663582,0.0002943383,1.146724,0.02730355,0.02810041,0.0002011281,0.0004429276,0.0009227735
235,1.387223,64,47.46024,27.71223,2.381738e-07,18.55722,0.3759307,0.06967105,0.0005004286,0.0003358841,8.620907e-05,0.00267037,0.0002950021,0.6881818,0.02531059,0.02622313,0.0002035692,0.000448905,0.0009364311
236,1.397226,67,48.06126,27.51485,2.564828e-07,19.63334,0.3930377,0.07194799,0.0005140089,0.0003369909,8.646036e-05,0.002677183,0.0002956681,0.3945037,0.02352626,0.02452654,0.0002060556,0.0004550048,0.0009503959
237,1.407229,54,48.87757,27.31747,2.754767e-07,20.8051,0.4113337,0.0743381,0.0005281486,0.0003381033,8.671275e-05,0.002684022,0.0002963364,0.2188534,0.02192264,0.02298833,0.0002085884,0.0004612302,0.0009646772
238,1.417233,66,49.87922,27.11944,2.951844e-07,22.08406,0.4309309,0.07684901,0.0005428787,0.0003392211,8.696625e-05,0.002690888,0.0002970069,0.1202619,0.02047633,0.02158951,0.0002111689,0.0004675849,0.0009792847
239,1.427236,87,51.04954,26.92141,3.15636e-07,23.4836,0.451955,0.07948895,0.0005582326,0.0003403445,8.722086e-05,0.00269778,0.0002976797,0.06794575,0.01916755,0.02031383,0.0002137983,0.0004740723,0.0009942284
240,1.437239,84,52.38327,26.72306,3.368638e-07,25.01919,0.4745472,0.08226691,0.0005742459,0.0003414735,8.747659e-05,0.002704698,0.0002983548,0.04136182,0.01797952,0.01914734,0.0002164778,0.0004806964,0.001009519
241,1.447243,87,53.88652,26.52472,3.589014e-07,26.70889,0.4988664,0.08519264,0.0005909568,0.0003426081,8.773345e-05,0.002711644,0.0002990323,0.02811681,0.01689792,0.01807798,0.0002192088,0.0004874608,0.001025167
242,1.457246,111,55.57339,26.32604,3.817848e-07,28.57379,0.5250921,0.08827679,0.0006084064,0.0003437484,8.799144e-05,0.002718616,0.000299712,0.02137634,0.01591049,0.01709532,0.0002219925,0.0004943697,0.001041184
243,1.467249,89,57.46573,26.12736,4.055519e-07,30.63869,0.5534276,0.09153095,0.0006266387,0.0003448944,8.825057e-05,0.002725614,0.000300394,0.01766589,0.01500667,0.01619028,0.0002248304,0.0005014272,0.001057581
244,1.477252,100,59.5909,25.92807,4.302433e-07,32.93295,0.5841036,0.09496782,0.0006457011,0.0003460462,8.851084e-05,0.00273264,0.0003010784,0.01534319,0.01417733,0.01535494,0.0002277238,0.0005086376,0.001074372
245,1.487256,115,61.98417,25.72879,4.559021e-07,35.49173,0.6173833,0.09860129,0.0006656448,0.0003472037,8.877227e-05,0.002739693,0.0003017651,0.01367798,0.01341454,0.01458234,0.0002306743,0.0005160054,0.001091567
246,1.497259,113,64.68831,25.5293,4.825743e-07,38.35802,0.6535674,0.1024466,0.0006865248,0.000348367,8.903486e-05,0.002746774,0.0003024541,0.01235825,0.01271141,0.01386638,0.0002336835,0.0005235352,0.001109182
247,1.507262,154,67.75874,25.32981,5.103096e-07,41.58679,0.6930011,0.1065204,0.0007084004,0.0003495362,8.929862e-05,0.002753882,0.0003031456,0.0112507,0.01206189,0.01320168,0.0002367528,0.0005312319,0.001127229
248,1.517266,126,71.27224,25.12988,5.391622e-07,45.25494,0.7360818,0.1108413,0.0007313357,0.0003507112,8.956355e-05,0.002761017,0.0003038394,0.01029425,0.01146071,0.01258348,0.0002398839,0.0005391003,0.001145724
249,1.527269,152,75.3534,24.92991,5.691929e-07,49.4862,0.783269,0.1154293,0.0007554003,0.0003518923,8.982966e-05,0.002768181,0.0003045355,0.009456451,0.0109032,0.01200756,0.0002430786,0.0005471457,0.00116468
250,1.537272,157,80.23591,24.72963,6.004744e-07,54.51401,0.8350961,0.1203071,0.0007806692,0.0003530792,9.009696e-05,0.002775372,0.0003052341,0.008716626,0.01038524,0.01147016,0.0002463385,0.0005553735,0.001184113
251,1.547275,171,86.41551,24.52925,6.331041e-07,60.83328,0.8921853,0.1254993,0.000807224,0.0003542722,9.036545e-05,0.002782591,0.0003059351,0.008059645,0.009903194,0.01096792,0.0002496655,0.0005637892,0.001204041
252,1.557279,175,94.99487,24.32872,6.672349e-07,69.546,0.9552654,0.1310334,0.0008351532,0.0003554713,9.063514e-05,0.002789839,0.0003066385,0.007473549,0.009453831,0.01049787,0.0002530615,0.0005723986,0.001224479
253,1.567282,186,108.4169,24.12795,7.031417e-07,83.09427,1.025196,0.1369401,0.0008645528,0.0003566765,9.090605e-05,0.002797115,0.0003073443,0.006948556,0.009034272,0.01005731,0.0002565284,0.0005812078,0.001245446
254,1.577285,228,131.9021,23.92711,7.413567e-07,106.6974,1.103,0.1432532,0.0008955278,0.0003578877,9.117817e-05,0.002804419,0.0003080526,0.006476523,0.008641945,0.009643829,0.0002600682,0.0005902229,0.00126696
255,1.587289,237,176.0268,23.72594,7.829193e-07,150.9307,1.189918,0.1500109,0.0009281923,0.0003591052,9.145151e-05,0.002811752,0.0003087633,0.006050617,0.008274551,0.009255267,0.000263683,0.0005994506,0.001289039
256,1.597292,315,260.9074,23.52472,8.297908e-07,235.9087,1.287505,0.1572556,0.0009626711,0.0003603289,9.172609e-05,0.002819114,0.0003094765,0.005665065,0.007930029,0.008889663,0.000267375,0.0006088975,0.001311706
257,1.607295,480,422.2049,23.32318,8.854649e-07,397.2905,1.397864,0.165035,0.0009991005,0.0003615589,9.20019e-05,0.002826505,0.0003101921,0.005314962,0.007606523,0.008545248,0.0002711464,0.0006185707,0.00133498
258,1.617298,683,718.445,23.12164,9.557409e-07,693.5984,1.524214,0.1734026,0.00103763,0.0003627952,9.227896e-05,0.002833924,0.0003109103,0.004996122,0.007302362,0.008220419,0.0002749996,0.0006284775,0.001358883
259,1.627302,1213,1237.801,22.91991,1.049507e-06,1213,1.672303,0.1824189,0.001078423,0.0003640378,9.255727e-05,0.002841373,0.0003116309,0.004704955,0.00701604,0.007913723,0.0002789369,0.0006386256,0.00138344
260,1.637305,2067,2100.72,22.71811,1.179231e-06,2075.93,1.853852,0.1921523,0.001121661,0.0003652868,9.283684e-05,0.002848852,0.0003123541,0.004438368,0.006746191,0.007623838,0.000282961,0.0006490229,0.001408673
261,1.647308,3442,3453.266,22.51593,1.360744e-06,3428.428,2.094452,0.2026802,0.001167542,0.0003665422,9.311769e-05,0.00285636,0.0003130797,0.004193686,0.006491578,0.007349559,0.0002870743,0.0006596776,0.001434608
262,1.657312,5416,5446.053,22.31368,1.611902e-06,5421.05,2.450567,0.214091,0.001216284,0.0003678042,9.33998e-05,0.002863898,0.0003138079,0.003968586,0.006251078,0.00708979,0.0002912796,0.0006705983,0.001461271
263,1.667315,8260,8196.475,22.11135,1.949953e-06,8171.07,3.043499,0.2264853,0.001268129,0.0003690727,9.368321e-05,0.002871466,0.0003145387,0.003761044,0.00602367,0.006843525,0.0002955796,0.0006817941,0.001488691
264,1.677318,11807,11738.16,21.90895,2.387841e-06,11711.86,4.121875,0.2399785,0.001323346,0.0003703477,9.39679e-05,0.002879063,0.000315272,0.00356929,0.005808423,0.006609847,0.0002999774,0.0006932743,0.001516896
265,1.687321,15927,15969.67,21.70617,2.930218e-06,15941.52,6.166351,0.2547031,0.001382232,0.0003716293,9.425389e-05,0.002886691,0.0003160078,0.003391768,0.005604485,0.006387915,0.0003044759,0.0007050487,0.001545918
266,1.697325,20486,20621.26,21.50332,3.570291e-06,20589.42,10.04686,0.2708122,0.001445117,0.0003729177,9.454119e-05,0.002894349,0.0003167463,0.00322711,0.005411081,0.006176954,0.0003090783,0.0007171274,0.001575787
267,1.707328,25061,25258.67,21.30027,4.288777e-06,25219.83,17.22798,0.2884831,0.00151237,0.0003742127,9.482981e-05,0.002902038,0.0003174873,0.003074109,0.005227499,0.005976256,0.0003137878,0.0007295211,0.001606537
268,1.717331,29447,29335.23,21.09723,5.0558e-06,29283.82,29.98669,0.3079221,0.001584402,0.0003755145,9.511975e-05,0.002909758,0.0003182309,0.002931694,0.005053086,0.005785166,0.0003186079,0.0007422409,0.001638204
269,1.727335,32296,32289.19,20.89393,5.835523e-06,32216.38,51.56006,0.3293705,0.001661676,0.0003768231,9.541102e-05,0.002917508,0.0003189772,0.002798914,0.004887242,0.005603082,0.0003235421,0.0007552985,0.001670825
270,1.737338,33449,33669.39,20.69047,6.59221e-06,33562.23,86.0902,0.3531122,0.001744708,0.0003781385,9.570363e-05,0.002925289,0.0003197261,0.002674922,0.004729416,0.005429447,0.0003285941,0.0007687058,0.001704439
271,1.747341,33234,33257.36,20.48686,7.296131e-06,33098.26,138.2101,0.3794853,0.001834082,0.0003794609,9.599759e-05,0.002933102,0.0003204776,0.002558962,0.0045791,0.005263747,0.0003337677,0.0007824757,0.001739087
272,1.757344,30940,31135.31,20.28308,7.927835e-06,30902.44,212.1546,0.4088994,0.001930455,0.0003807902,9.629291e-05,0.002940945,0.0003212318,0.002450358,0.004435827,0.005105508,0.000339067,0.0007966214,0.001774812
273,1.767348,27407,27659.93,20.0792,8.479747e-06,27328.98,310.4124,0.4418726,0.002034573,0.0003821265,9.658959e-05,0.002948821,0.0003219886,0.002348501,0.004299163,0.004954288,0.0003444961,0.0008111568,0.00181166
274,1.777351,23169,23357.83,19.87514,8.95509e-06,22905.3,432.154,0.479113,0.002147281,0.0003834698,9.688764e-05,0.002956728,0.0003227481,0.002252847,0.00416871,0.004809678,0.0003500593,0.0008260964,0.001849678
275,1.787354,18712,18794.83,19.67087,9.364974e-06,18202.73,571.8912,0.5217192,0.002269544,0.0003848202,9.718708e-05,0.002964666,0.0003235103,0.002162904,0.004044096,0.0046713,0.0003557612,0.0008414554,0.001888917
276,1.797358,14264,14461.31,19.46638,9.724837e-06,13722.3,718.948,0.5716696,0.002402463,0.0003861778,9.748791e-05,0.002972637,0.0003242752,0.002078226,0.003924979,0.004538801,0.0003616065,0.0008572498,0.00192943
277,1.807361,10806,10697.46,19.26189,1.005123e-05,9819.334,858.214,0.6329778,0.002547301,0.0003875426,9.779013e-05,0.00298064,0.0003250429,0.001998411,0.003811041,0.004411854,0.0003676002,0.0008734963,0.001971274
278,1.817364,7550,7668.694,19.05713,1.035957e-05,6676.577,972.3259,0.7142785,0.002705513,0.0003889146,9.809376e-05,0.002988676,0.0003258132,0.001923096,0.003701986,0.004290152,0.0003737474,0.0008902125,0.002014508
